timestamp,values
2013-03-18T10:27:59-07:00,1
2013-03-18T10:46:21-07:00,0
2013-03-25T18:52:20-07:00,1
2013-03-25T18:53:35-07:00,0
2013-03-25T18:53:38-07:00,1
2013-03-25T18:53:39-07:00,0
2013-03-25T18:53:48-07:00,1
2013-03-25T18:55:06-07:00,0
2013-03-25T18:55:09-07:00,1
2013-03-25T19:11:09-07:00,0
2013-03-25T22:12:41-07:00,1
2013-03-25T22:28:49-07:00,0
2013-03-27T01:10:53-07:00,1
2013-03-27T01:12:09-07:00,0
2013-03-27T01:12:21-07:00,1
2013-03-27T01:22:08-07:00,0
2013-03-27T01:22:12-07:00,1
2013-03-27T23:44:39-07:00,0
2013-03-27T23:44:49-07:00,1
2013-03-27T23:45:51-07:00,0
2013-03-27T23:46:08-07:00,1
2013-03-27T23:47:27-07:00,0
2013-03-27T23:47:31-07:00,1
2013-03-27T23:48:58-07:00,0
2013-03-27T23:49:01-07:00,1
2013-03-28T00:08:27-07:00,0
2013-03-29T00:14:25-07:00,1
2013-03-29T00:18:13-07:00,0
2013-03-29T00:19:51-07:00,1
2013-03-29T02:54:14-07:00,0
2013-04-01T20:08:29-07:00,1
2013-04-01T20:13:26-07:00,0
2013-04-01T21:28:16-07:00,1
2013-04-01T22:01:45-07:00,0
2013-04-01T22:02:07-07:00,1
2013-04-01T22:50:55-07:00,0
2013-04-01T22:55:52-07:00,1
2013-04-01T23:01:59-07:00,0
2013-04-01T23:05:17-07:00,1
2013-04-02T08:05:47-07:00,0
2013-04-02T08:06:02-07:00,1
2013-04-02T08:16:07-07:00,0
2013-04-02T18:32:47-07:00,1
2013-04-02T19:10:24-07:00,0
2013-04-02T19:10:44-07:00,1
2013-04-02T20:24:12-07:00,0
2013-04-02T20:27:51-07:00,1
2013-04-02T21:08:24-07:00,0
2013-04-03T20:09:52-07:00,1
2013-04-03T20:27:18-07:00,0
